campo-mapeo,coste,pvp
321230M,"10,1",0
321200M,"10,1",0
321210M,"10,1",0
321220M,"10,1",0
321230R50,"9,15",0
321200R50,"9,15",0
321210R50,"9,15",0
321220R50,"9,15",0
321330M,"12,15",0
321300M,"12,15",0
321310M,"12,15",0
321320M,"12,15",0
321330R50,"11,1",0
321300R50,"11,1",0
321310R50,"11,1",0
321320R50,"11,1",0
322330M,"13,1",0
322300M,"13,1",0
322310M,"13,1",0
322320M,"13,1",0
322330R50,"11,95",0
322300R50,"11,95",0
322310R50,"11,95",0
322320R50,"11,95",0
321880M,"13,1",0
321870M,"13,1",0
321860M,"13,1",0
321880R50,"11,95",0
321870R50,"11,95",0
321860R50,"11,95",0
322190M,"23,85",0
322190R50,"21,7",0
310000R5,"2,1",0
310010R5,"2,1",0
310020R5,"2,1",0
311000R5,"3,1",0
311010R5,"3,1",0
311020R5,"3,1",0
310100R5,"3,2",0
310110R5,"3,2",0
310120R5,"3,2",0
311100R5,"4,15",0
311110R5,"4,15",0
311120R5,"4,15",0
310400R5,"4,65",0
310410R5,"4,65",0
310420R5,"4,65",0
311400R5,"5,65",0
311410R5,"5,65",0
311420R5,"5,65",0
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
IP20,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
IP67,,
,,
,,
,,
,,
,,
,,
,,
,,
www.idealuz.es,,
