campo-mapeo,Cod. Barras,coste,pvp
032120R50,6694449,,
032121R50,6694456,,
032123R50,6695088,,
32130,6694500,,
32131,6695125,,
32133,6695132,,
33056,6696610,,
331730,6696245,,
42000,6694463,,
42001,6694470,,
42002,6695095,,
42003,6695101,,
42005,6694517,,
110010,6702779,,
110010N,6702366,,
110016,6702816,,
110020B,6703158,,
110020N,6719333,,
110050B,6710002,,
110050N,6711474,,
110080N,6703240,,
110160,6703264,,
110190B,6705442,,
120000,6702373,,
120009,6702748,,
120010,6703172,,
120090,6709983,,
120100,6711481,,
120120,6711412,,
130010,6702793,,
130010N,6702380,,
130016,6702823,,
130020B,6703165,,
130080N,6703257,,
130160,6703288,,
131010,6702786,,
131016,6702830,,
131020B,6711405,,
131020N,6719401,,
131160,6703295,,
140010,6702809,,
140020,6719371,,
140080,6703271,,
140110,6703301,,
224003,6719364,,
311000R5,6696955,,
321200M,6697044,,
321200R50,6697051,,
321230M,6697099,,
321230R50,6697105,,
321300R50,6697129,,
321310R50,6697143,,
321320R50,6697167,,
321330R50,6697181,,
321870R50,6697228,,
322300R50,6697280,,
330430M,,,
330560M,,,
330560R50,,,
330700M,6716028,,
330730R50,6718596,,
331000R50,,,
331030M,,,
331030R50,,,
331690R50,,,
331700M,6719340,,
331700R50,6713737,,
332280M,6716059,,
335300R5,,,
410004,6717896,,
420000,,,
420003,6703844,,
420020,6697358,,
420022,6713775,,
420030,6697365,,
420050,,,
510010,6711962,,
510050,6711993,,
510060,6712037,,
510100,6711955,,
702103M,,,
702202,,,
